Apple Inc
Wal-Mart Stores
Royal Dutch Shell
Exxon Mobil
BP
Toyota Motor
Japan Post Holdings
Sinopec
AXA
ING Group
General Electric
Bank of America Corp.
ConocoPhillips
Allianz
Ford Motor
J.P. Morgan Chase & Co.
Hewlett-Packard
E.ON
Berkshire Hathaway
PepsiCo
Samsung Electronics
Citigroup
McKesson
Verizon Communications
Banco Santander
General Motors
HSBC Holdings
Siemens
American International Group
Lloyds Banking Group
Cardinal Health
Wells Fargo
Hitachi
Dexia Group
Gazprom
Honda Motor
Aviva
Petrobras
Tesco
Deutsche Telekom
Enel
UnitedHealth Group
Nissan Motor
Panasonic
LG
Sony
Kroger
Munich Re Group
AmerisourceBergen
China Mobile Communications
